Entity,Code,Year,Total number of international immigrants
Western Africa (UN),,2005,6000026
Western Africa (UN),,2010,6413896
Western Africa (UN),,2015,7206050
Western Africa (UN),,2020,7747495
Western Africa (UN),,2024,8236829
Western Asia (UN),,1990,14489476
Western Asia (UN),,1995,16497765
Western Asia (UN),,2000,18138496
Western Asia (UN),,2005,21262754
Western Asia (UN),,2010,30063216
Western Asia (UN),,2015,41799209
Western Asia (UN),,2020,45765868
Western Asia (UN),,2024,49211670
Western Europe (UN),,1990,17019914
Western Europe (UN),,1995,20263560
Western Europe (UN),,2000,21781702
Western Europe (UN),,2005,24134692
Western Europe (UN),,2010,25952723
Western Europe (UN),,2015,28688766
Western Europe (UN),,2020,32846290
Western Europe (UN),,2024,36742379
Western Sahara,ESH,1990,2688
Western Sahara,ESH,1995,2989
Western Sahara,ESH,2000,3289
Western Sahara,ESH,2005,3891
Western Sahara,ESH,2010,4493
Western Sahara,ESH,2015,5179
Western Sahara,ESH,2020,5424
Western Sahara,ESH,2024,5628
World,OWID_WRL,1990,153854403
World,OWID_WRL,1995,163115483
World,OWID_WRL,2000,174501851
World,OWID_WRL,2005,192717780
World,OWID_WRL,2010,220942811
World,OWID_WRL,2015,249959713
World,OWID_WRL,2020,275199945
World,OWID_WRL,2024,303936274
Yemen,YEM,1990,118863
Yemen,YEM,1995,136515
Yemen,YEM,2000,144940
Yemen,YEM,2005,171871
Yemen,YEM,2010,288394
Yemen,YEM,2015,379882
Yemen,YEM,2020,387113
Yemen,YEM,2024,392997
Zambia,ZMB,1990,279463
Zambia,ZMB,1995,244338
Zambia,ZMB,2000,343703
Zambia,ZMB,2005,252895
Zambia,ZMB,2010,149962
Zambia,ZMB,2015,132107
Zambia,ZMB,2020,187955
Zambia,ZMB,2024,249205
Zimbabwe,ZWE,1990,634621
Zimbabwe,ZWE,1995,431226
Zimbabwe,ZWE,2000,410109
Zimbabwe,ZWE,2005,402226
Zimbabwe,ZWE,2010,398307
Zimbabwe,ZWE,2015,400482
Zimbabwe,ZWE,2020,416141
Zimbabwe,ZWE,2024,429108
